DIA,MES,ANO,SRAD,TMAX,TMIN,RAIN,EVAP,WIND,SUNH,RHUM
1,JAN,1986,24.8,32.6,20.0, 0.0, 5.82,151.2,41.04, 71.4
2,JAN,1986,26.2,33.4,19.8, 0.0, 8.58,314.4,64.93,   64
3,JAN,1986,29.1,32.0,17.0, 0.0, 7.34,201.6, 70.9, 53.7
4,JAN,1986,28.5,32.6,16.4, 4.3,  -99,232.8,72.18, 56.2
5,JAN,1986,18.4,35.2,17.1, 8.7,  -99,244.8,19.55, 80.5
6,JAN,1986,31.2,30.0,17.4, 0.0,10.01,316.8,84.21, 59.4
7,JAN,1986,29.7,30.6,16.2, 0.0, 6.18,  204,66.17, 66.5
8,JAN,1986,25.8,31.9,16.2, 0.5,  -99,  264,57.14, 66.1
9,JAN,1986,22.7,32.8,18.2, 6.6,  -99,  180,45.11, 76.5
10,JAN,1986,25.0,31.8,19.2, 6.7,  -99,  252,51.88,   80
11,JAN,1986,16.0,32.6,20.4,29.2,  -99,184.8,11.28, 88.6
12,JAN,1986,22.0,29.4,20.2, 0.0, 4.67,163.2,39.85, 75.1
13,JAN,1986,22.0,31.2,20.2, 5.8,  -99,134.4,34.59, 78.4
14,JAN,1986,26.1,31.9,20.2, 0.0, 6.48,254.4,57.89, 71.9
15,JAN,1986,21.2,31.9,19.4, 0.0, 3.91,  204,28.57, 78.6
16,JAN,1986,25.6,31.5,20.8, 0.4,  -99,220.8,53.79, 68.9
17,JAN,1986,28.3,32.6,21.1, 0.0, 7.74,244.8,74.24, 62.5
18,JAN,1986,25.5,33.2,20.6, 0.0, 5.56,  180,51.52, 68.2
19,JAN,1986,24.1,32.4,21.0, 0.0, 7.25,  180,56.82,   61
20,JAN,1986,24.6,33.6,20.4, 0.0,  8.5,  228,52.27, 69.4
21,JAN,1986,22.0,35.0,19.9, 0.4,  -99,  204,24.24, 78.7
22,JAN,1986,19.6,31.6,19.2, 4.0,  -99,223.2,34.85, 82.2
23,JAN,1986,20.5,34.4,19.8,16.1,  -99,266.4, 30.3, 75.3
24,JAN,1986,21.4,33.1,19.6, 0.0, 3.62,160.8,51.91, 73.8
25,JAN,1986,26.0,33.0,19.4,37.1,  -99,  168,67.94, 76.2
26,JAN,1986,26.8,34.2,19.2,18.4,  -99,  228,67.18, 76.7
27,JAN,1986,29.0,32.0,18.0, 0.0, 8.18,201.6,70.23, 67.9
28,JAN,1986,28.2,32.2,18.4, 0.0, 7.16,151.2,74.81, 60.3
29,JAN,1986,24.4,33.2,18.9, 0.0, 2.92,196.8,25.19,   69
30,JAN,1986,28.0,33.9,21.4, 0.0, 7.45,242.4,70.77, 66.7
31,JAN,1986,23.0,32.8,20.0, 4.8, 6.17,235.2,49.23, 63.5
